frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
766,51.022949,51.0896156,32,M,Neutral,2,1
767,51.0896156,51.1562822,31,M,Sad,2,2
769,51.2229488,51.2896154,28,M,Neutral,1,1
771,51.356282,51.422948600000005,36,F,Sad,2,2
785,52.2896144,52.356281,36,M,Happy,2,1
786,52.356281,52.4229476,37,M,Happy,2,1
787,52.4229476,52.489614200000005,35,M,Happy,2,1
788,52.489614200000005,52.5562808,34,M,Happy,2,1
789,52.5562808,52.6229474,35,M,Sad,2,2
790,52.6229474,52.689614,33,M,Sad,2,2
791,52.689614,52.7562806,35,M,Sad,2,2
792,52.7562806,52.8229472,34,M,Sad,2,2
793,52.8229472,52.8896138,35,M,Sad,2,2
794,52.8896138,52.9562804,32,M,Sad,2,2
795,52.9562804,53.022947,34,M,Sad,2,2
796,53.022947,53.0896136,34,M,Sad,2,2
797,53.0896136,53.1562802,36,M,Sad,2,2
798,53.1562802,53.2229468,34,M,Sad,2,2
799,53.2229468,53.2896134,33,M,Sad,2,2
800,53.2896134,53.35628,33,M,Sad,2,2
801,53.35628,53.4229466,30,M,Sad,2,2
802,53.4229466,53.4896132,34,M,Sad,2,2
803,53.4896132,53.5562798,34,M,Sad,2,2
804,53.5562798,53.6229464,33,M,Neutral,2,1
805,53.6229464,53.689613,30,M,Sad,2,2
806,53.689613,53.7562796,34,M,Sad,2,2
807,53.7562796,53.8229462,34,M,Sad,2,2
808,53.8229462,53.8896128,34,M,Sad,2,2
809,53.8896128,53.9562794,34,M,Neutral,2,1
810,53.9562794,54.022946000000005,35,M,Neutral,2,1
811,54.022946000000005,54.0896126,34,M,Neutral,2,1
812,54.0896126,54.1562792,33,M,Neutral,2,1
813,54.1562792,54.2229458,33,M,Sad,2,2
814,54.2229458,54.2896124,35,M,Neutral,2,1
815,54.2896124,54.356279,35,M,Neutral,2,1
816,54.356279,54.4229456,32,M,Sad,2,2
817,54.4229456,54.4896122,35,M,Sad,2,2
818,54.4896122,54.5562788,34,M,Neutral,2,1
819,54.5562788,54.6229454,35,M,Neutral,2,1
820,54.6229454,54.689612,36,M,Neutral,2,1
821,54.689612,54.7562786,35,M,Neutral,2,1
822,54.7562786,54.8229452,35,M,Neutral,2,1
823,54.8229452,54.8896118,35,M,Neutral,2,1
824,54.8896118,54.9562784,31,M,Neutral,2,1
825,54.9562784,55.022945,31,M,Neutral,2,1
826,55.022945,55.0896116,32,M,Sad,2,2
827,55.0896116,55.1562782,36,M,Sad,2,2
828,55.1562782,55.2229448,37,M,Sad,2,2
829,55.2229448,55.2896114,34,M,Sad,2,2
830,55.2896114,55.356278,35,M,Sad,2,2
831,55.356278,55.4229446,36,M,Happy,2,1
899,59.8896068,59.9562734,40,M,Sad,3,2
